"County, State",Type,Value
"Hertford, NC",Crime,302.8938644
"Tyler, TX",Crime,302.83265
"Tippecanoe, IN",Crime,302.48537519999996
"Bay, MI",Crime,302.343867
"Kauai, HI",Crime,302.1061112
"Richland, LA",Crime,302.05686339999994
"Knox, IL",Crime,301.4708706
"Jack, TX",Crime,301.4402144
"Carroll, GA",Crime,300.8321837
"Midland, TX",Crime,300.3934825
"Greene, GA",Crime,300.2267018
"Carbon, UT",Crime,300.17152660000005
"Walton, GA",Crime,299.6944749
"Polk, TN",Crime,299.5805872
"Madison, AR",Crime,299.34399080000014
"Sullivan, PA",Crime,299.1654858
"Banks, GA",Crime,298.66956289999996
"Maverick, TX",Crime,298.5768433
"Clark, OH",Crime,298.1632848000001
"Arapahoe, CO",Crime,297.9886998
"Scott, KS",Crime,297.9145978
"Mitchell, KS",Crime,297.89902789999996
"Jackson, MS",Crime,296.90281239999996
"Lyon, NV",Crime,296.758927
"Buena Vista, IA",Crime,296.5916274
"Wakulla, FL",Crime,296.563729
"Ochiltree, TX",Crime,296.1317786
"Wayne, IN",Crime,296.0540851
"Cass, ND",Crime,296.0160659
"Mineral, WV",Crime,295.9861392
"Boone, IA",Crime,295.85798819999997
"Kootenai, ID",Crime,295.2899179
"Hernando, FL",Crime,295.2287593000001
"Marion, IL",Crime,295.1685568
"Macon, TN",Crime,295.1411832
"Sumner, TN",Crime,294.869973
"Lawrence, AL",Crime,294.7569
"Overton, TN",Crime,294.45073610000014
"Washtenaw, MI",Crime,294.4331527
"Mille Lacs, MN",Crime,294.1973445
"Lake, OR",Crime,294.11764710000006
"Colorado, TX",Crime,293.9475713
"Grant, WA",Crime,293.8679553
"Carteret, NC",Crime,293.71365110000005
"Dooly, GA",Crime,293.6241611
"Scott, MS",Crime,293.5663
"Surry, NC",Crime,292.95003419999995
"Davison, SD",Crime,292.5894163000001
"Lewis And Clark, MT",Crime,292.3260583
"Perry, TN",Crime,292.2861863
"Glades, FL",Crime,292.2442863
"Jasper, IL",Crime,291.90992489999996
"Fairfield, CT",Crime,291.83831539999994
"Claiborne, MS",Crime,291.7972549
"Missoula, MT",Crime,291.5738728
"Union, LA",Crime,290.90583599999997
"Mitchell, GA",Crime,290.73551749999996
"Macomb, MI",Crime,290.72182069999997
"Terry, TX",Crime,290.3554893
"Carbon, MT",Crime,290.1353965
"Camp, TX",Crime,290.018529
"Perry, AR",Crime,289.99516669999997
"Lake, MI",Crime,289.8296153
"Deer Lodge, MT",Crime,289.4200879
"Custer, OK",Crime,289.34200219999997
"Franklin, TN",Crime,289.3335603
"Grant, KS",Crime,289.3081761
"Humboldt, CA",Crime,289.2343838999999
"Jasper, SC",Crime,289.1584363
"Polk, AR",Crime,289.1306478
"Eureka, NV",Crime,289.017341
"Clark, WI",Crime,288.8920988
"Orange, NY",Crime,288.8772924
"Iredell, NC",Crime,288.7239617
"Jerome, ID",Crime,288.7092476
"Mills, IA",Crime,288.6680988
"Jefferson, MS",Crime,288.3733124
"Upshur, TX",Crime,288.3361749
"Yellowstone, MT",Crime,288.0087181
"Blaine, MT",Crime,287.7044216
"Crawford, MI",Crime,287.68699649999996
"Miller, GA",Crime,286.5812542
"Kit Carson, CO",Crime,286.176434
"Greene, IL",Crime,286.15452339999996
"Allen, IN",Crime,285.3884423
"Richland, MT",Crime,285.3575887
"Warren, MO",Crime,284.8571169
"Hancock, TN",Crime,284.4737236
"Elmore, AL",Crime,284.2945786
"Chippewa, MI",Crime,284.2671077
"Donley, TX",Crime,283.9295855
"Washington, IL",Crime,283.7763012000001
"Martinsville City, VA",Crime,283.5332606
"Northampton, NC",Crime,283.12299049999996
"Lamb, TX",Crime,283.1215971000001
"Barber, KS",Crime,282.9997979
"Levy, FL",Crime,282.51437799999997
"Toombs, GA",Crime,282.33051
"Van Buren, MI",Crime,282.2874561000001
"Humboldt, NV",Crime,282.2092956
"Pettis, MO",Crime,281.9571141
"Mingo, WV",Crime,281.85328189999996
"St. Johns, FL",Crime,281.4254437
"Luzerne, PA",Crime,281.15950180000004
"Barry, MO",Crime,281.119982
"Broadwater, MT",Crime,281.0962755
"Greene, AR",Crime,280.762002
"Washington, FL",Crime,280.214425
"Marion, AL",Crime,280.2136217
"Yazoo, MS",Crime,279.7403436
"Scott, IN",Crime,279.4927415
"Jasper, GA",Crime,279.39122119999996
"Harford, MD",Crime,279.2769296
"Glenn, CA",Crime,279.1696492
"Rensselaer, NY",Crime,278.89293260000005
"Warren, IA",Crime,278.8575292
"Crook, OR",Crime,278.64520780000004
"Imperial, CA",Crime,278.62093960000004
"Hall, NE",Crime,278.3267457
"Butts, GA",Crime,278.2415136
"Brown, WI",Crime,278.09856
"Grand, UT",Crime,277.77777779999997
"Houston, TN",Crime,277.3757839
"Catron, NM",Crime,277.2387025
"Mayes, OK",Crime,276.933634
"Pocahontas, WV",Crime,276.8485408
"Luce, MI",Crime,276.837896
"Benewah, ID",Crime,276.42636
"Mason, MI",Crime,276.1754938
"Hardee, FL",Crime,276.172826
"Jackson, OK",Crime,275.9889604
"Bethel Census Area, AK",Crime,275.93197430000004
"Burleigh, ND",Crime,275.8402388
"Franklin, KS",Crime,275.8352758
"Douglas, GA",Crime,275.7022709
"Bradley, AR",Crime,275.58005160000005
"Washington, OK",Crime,275.3165171
"Montour, PA",Crime,275.06606980000004
"Weld, CO",Crime,274.29249219999997
"Rockingham, NC",Crime,274.2767583
"Yell, AR",Crime,274.0602019
"Tom Green, TX",Crime,274.0226525
"Coles, IL",Crime,273.7583105
"Meriwether, GA",Crime,273.1725697
"Decatur, KS",Crime,273.03754269999996
"Garfield, OK",Crime,273.0178104
"Twin Falls, ID",Crime,272.6465475
"Choctaw, OK",Crime,272.515786
"Josephine, OR",Crime,272.4893765
"Person, NC",Crime,272.43100110000006
"Clallam, WA",Crime,272.43057860000005
"Malheur, OR",Crime,272.3186456
"Goshen, WY",Crime,271.8189833
"Yolo, CA",Crime,271.7590533
"Taylor, GA",Crime,271.73913039999996
"Cherokee, KS",Crime,271.71322339999995
"Warren, PA",Crime,271.49321269999996
"Highlands, FL",Crime,271.47188989999995
"Telfair, GA",Crime,271.2313905
"Monongalia, WV",Crime,270.84107400000005
"Hill, TX",Crime,269.9365362
"Fayette, WV",Crime,269.74275750000004
"Flathead, MT",Crime,269.69527660000006
"Marshall, OK",Crime,268.95171380000005
"Kitsap, WA",Crime,268.93151889999996
"St. Francois, MO",Crime,268.8212641
"Preston, WV",Crime,268.7616291
"Woodward, OK",Crime,268.6018567
"Mckenzie, ND",Crime,268.4131415
"Randolph, AL",Crime,268.4032208
"Comal, TX",Crime,268.3997299
"Conway, AR",Crime,268.2984232
"Otero, NM",Crime,268.2272616
"White, IL",Crime,268.0596605
"Galveston, TX",Crime,267.9427085
"Mason, WA",Crime,267.78187349999996
"Caswell, NC",Crime,267.35661919999995
"Benton, AR",Crime,267.1757334
"Essex, VA",Crime,267.1653754
"Howard, IN",Crime,267.037216
"Salem, NJ",Crime,267.0104042
"Osage, OK",Crime,266.7389085
"Ottawa, OK",Crime,266.7080167
"Cape May, NJ",Crime,265.9102996
"Clear Creek, CO",Crime,265.7513011
"Marshall, MS",Crime,265.6442558
"Phelps, MO",Crime,265.58350260000003
"Dare, NC",Crime,265.5701191
"Wayne, WV",Crime,265.4632333
"Santa Clara, CA",Crime,265.4076897
"Warrick, IN",Crime,265.360612
"Monroe, MI",Crime,265.3348939
"Wright, MO",Crime,265.2519894
"Cobb, GA",Crime,264.2256585
"Whitfield, GA",Crime,264.2187576
"Carbon, PA",Crime,263.9459142
"Haywood, NC",Crime,263.5892064
"St. Clair, MO",Crime,263.518499
"Chambers, TX",Crime,263.5010323
"Worth, GA",Crime,263.0219342
"Lauderdale, AL",Crime,262.9395347
"Delta, MI",Crime,262.837014
"Linn, KS",Crime,262.7154267
"Martin, FL",Crime,262.4567806
"Warren, NC",Crime,262.454435
"Barbour, WV",Crime,262.37328560000003
"Hartley, TX",Crime,262.295082
"Delaware, IN",Crime,262.16335840000005
"Sequoyah, OK",Crime,262.0214469
"Lumpkin, GA",Crime,261.9833107
"Callaway, MO",Crime,261.502739
"Starr, TX",Crime,261.446347
"Butte, SD",Crime,261.374637
"Madison, IN",Crime,261.3387287
"Le Flore, OK",Crime,261.18053599999996
"Harrison, WV",Crime,260.97546830000005
"Page, IA",Crime,260.9304398
"Bennett, SD",Crime,260.7184241
"Sandoval, NM",Crime,260.6626396
"Wexford, MI",Crime,260.3767805
"Shoshone, ID",Crime,260.0472813
"Wayne, TN",Crime,259.7555936
"Garvin, OK",Crime,259.7497622
"Polk, MN",Crime,259.7484874
"Lehigh, PA",Crime,259.65102
"Monroe, IN",Crime,259.35949480000005
"Chase, KS",Crime,259.25925930000005
"St. Clair, MI",Crime,259.2401025
"Cherry, NE",Crime,259.1568763
"Christian, KY",Crime,258.875241
"Cameron, TX",Crime,258.8214994
"Dekalb, IL",Crime,258.7334473
"Washington, MD",Crime,258.71059180000003
"Covington, AL",Crime,258.67074909999997
"Clinton, IN",Crime,258.2330781
"Silver Bow, MT",Crime,257.79914840000004
"Oneida, NY",Crime,257.7220284
"Union, FL",Crime,257.6638478
"Macon, MO",Crime,257.3340196
"Flagler, FL",Crime,257.11312979999997
"Logan, IL",Crime,256.97503670000003
"Smith, TN",Crime,256.8942015
"Frederick, MD",Crime,256.8255533
"Maui, HI",Crime,256.5511042
"Candler, GA",Crime,256.0117034
"Kalkaska, MI",Crime,255.8734589
"Snyder, PA",Crime,255.86353939999998
"Morgan, AL",Crime,254.6186147
"Harnett, NC",Crime,254.42646040000002
"Sumner, KS",Crime,254.33427999999998
"Pope, AR",Crime,254.20883500000002
"Grayson, TX",Crime,254.1825701
"Blair, PA",Crime,254.1286002
"Fremont, CO",Crime,254.0311296
"Van Buren, AR",Crime,253.95700449999998
"Franklin, WA",Crime,253.9301461
"Lincoln, NM",Crime,253.66824169999998
"Lowndes, MS",Crime,253.6630954
"Johnson, TX",Crime,253.3821999
"Newton, MO",Crime,253.2075792
"Uintah, UT",Crime,253.12895509999998
"Franklin, MS",Crime,252.17500950000002
"Fergus, MT",Crime,252.15198680000003
"Westchester, NY",Crime,251.85744869999996
"Benton, TN",Crime,251.6881522
"Hampton City, VA",Crime,251.6477809
"Autauga, AL",Crime,251.6019259
"Marion, WV",Crime,251.4595203
"Fentress, TN",Crime,251.270311
"Clay, SD",Crime,251.1661285
"Heard, GA",Crime,250.9084617
"Chemung, NY",Crime,250.8304522
"Bedford, PA",Crime,250.7389665
"Franklin, NC",Crime,250.56215869999997
"Kanabec, MN",Crime,250.06251559999998
"Newaygo, MI",Crime,249.9947918
"Saline, AR",Crime,249.99125899999999
"Scott, TN",Crime,249.82966159999998
"Ogemaw, MI",Crime,249.5996986
"York, PA",Crime,249.22260319999995
"Roane, TN",Crime,248.83593790000003
"Park, MT",Crime,248.6927688
"Woodson, KS",Crime,248.37007140000003
"Chester, TN",Crime,248.25356499999998
"Racine, WI",Crime,248.1529525
"Carroll, AR",Crime,248.13003450000002
"Wake, NC",Crime,248.0783423
"Erie, PA",Crime,247.9539341
"Osage, KS",Crime,247.8007682
"Codington, SD",Crime,247.7291495
"Carbon, WY",Crime,247.65049530000002
"Fort Bend, TX",Crime,247.560798
"Nevada, CA",Crime,247.45417519999998
"Ray, MO",Crime,247.40657149999998
"Mercer, IL",Crime,247.249351
"Washington, GA",Crime,246.6627974
"Lee, AL",Crime,246.46697540000002
"Marshall, WV",Crime,246.46477090000002
"Stone, AR",Crime,246.4033066
"Park, WY",Crime,246.34755530000004
"Aransas, TX",Crime,246.3458696
"Adams, MS",Crime,246.1826114
"Bent, CO",Crime,246.13220819999998
"Crawford, IL",Crime,246.090746
"Pittsburg, OK",Crime,246.06849649999998
"Screven, GA",Crime,245.7865169
"San Jacinto, TX",Crime,245.7551385
"Johnson, GA",Crime,245.72540189999998
"Clay, NC",Crime,245.6538171
"Marion, MO",Crime,245.6407418
"Cleburne, AR",Crime,245.26979680000002
"Haskell, OK",Crime,245.1731535
"Gila, AZ",Crime,245.03798089999998
"Wagoner, OK",Crime,244.3857332
"Ashley, AR",Crime,244.3264577
"El Dorado, CA",Crime,244.30908399999998
"Mackinac, MI",Crime,244.100895
"Carson City, NV",Crime,244.08284019999996
"Collier, FL",Crime,244.0805319
"Maries, MO",Crime,243.95653140000002
"Moore, TX",Crime,243.8914232
"Jackson, IN",Crime,243.868771
"St. Louis, MN",Crime,243.8416276
"Allen, KS",Crime,243.82810120000002
"Hillsborough, NH",Crime,243.5734
"Holmes, FL",Crime,243.44474309999998
"Florence, WI",Crime,243.3628319
"Hampshire, MA",Crime,243.1138625
"Franklin, LA",Crime,243.06061929999998
"Johnson, IA",Crime,242.8946139
"Berkeley, WV",Crime,242.85688
"Lincoln, SD",Crime,242.6892374
"Blue Earth, MN",Crime,242.64436580000003
"Linn, MO",Crime,242.56144890000002
"Pike, MS",Crime,242.4151547
"Pottawatomie, KS",Crime,242.3868494
"Pawnee, OK",Crime,242.23339190000002
"Charlotte, FL",Crime,242.20571099999998
"Saguache, CO",Crime,241.6237113
"Haskell, KS",Crime,241.4875634
"Douglas, IL",Crime,241.36370490000002
"Hawkins, TN",Crime,241.1971831
"Beltrami, MN",Crime,240.8583315
"Osceola, MI",Crime,240.76701490000002
"Elmore, ID",Crime,240.7336645
"Esmeralda, NV",Crime,240.3846154
"Caldwell, LA",Crime,240.26429069999998
"Palo Pinto, TX",Crime,240.2380867
"Riley, KS",Crime,240.0721543
"Edwards, IL",Crime,239.8081535
"Freestone, TX",Crime,239.23444980000002
"Lyon, IA",Crime,239.0710383
"Cleveland, NC",Crime,239.05942480000002
"Hickman, TN",Crime,239.0077059
"Rock, WI",Crime,238.8965963
"Buncombe, NC",Crime,238.79441090000003
"Tooele, UT",Crime,238.63598959999996
"Carroll, TN",Crime,238.4877074
"Yankton, SD",Crime,237.9273881
"Beadle, SD",Crime,237.83185840000002
"Lawrence, IN",Crime,237.76284790000003
"Wells, ND",Crime,237.7555873
"Cullman, AL",Crime,237.59141699999998
"Converse, WY",Crime,237.5462866
"Honolulu, HI",Crime,237.53621260000003
"Siskiyou, CA",Crime,237.4483436
"Sullivan, NY",Crime,237.3964651
"Neosho, KS",Crime,237.3706634
"Manistee, MI",Crime,237.2188139
"Jackson, NC",Crime,237.0536914
"Laramie, WY",Crime,236.9297248
"Baker, FL",Crime,236.92296299999998
"Union, NC",Crime,236.89108650000003
"Cascade, MT",Crime,236.69644590000001
"Johnson, IL",Crime,236.64904950000002
"Blaine, OK",Crime,236.6255144
"Lane, OR",Crime,236.3760906
"Tazewell, IL",Crime,236.15348509999998
"Aleutians West Census Area, AK",Crime,235.8918527
"Marion, OR",Crime,235.7747193
"Polk, OR",Crime,235.69549700000002
"Bannock, ID",Crime,235.43826349999998
"San Mateo, CA",Crime,235.35771290000002
"Sheridan, KS",Crime,235.01762630000002
"Trumbull, OH",Crime,234.93281409999997
"Itasca, MN",Crime,234.8345185
"Wilkes, NC",Crime,234.7043739
"Talbot, MD",Crime,234.6365769
"St. Mary'S, MD",Crime,234.41846890000002
"Payette, ID",Crime,234.40955330000003
"Murray, GA",Crime,234.29342709999997
"Kane, UT",Crime,234.1597796
"Walla Walla, WA",Crime,233.4957164
"Van Buren, TN",Crime,232.8497224
"Golden Valley, MT",Crime,232.8288708
"Windham, VT",Crime,232.5740475
"Lane, KS",Crime,232.5581395
"Nome Census Area, AK",Crime,232.5111201
"Colonial Heights City, VA",Crime,232.50538730000002
"Henry, IA",Crime,232.4201365
"Loudon, TN",Crime,231.9219791
"Lackawanna, PA",Crime,231.8504565
"Jones, TX",Crime,231.6330127
"Johnson, IN",Crime,231.55941869999998
"Mower, MN",Crime,231.3931904
"Graham, KS",Crime,231.39220980000002
"Deschutes, OR",Crime,231.3894212
"Cooke, TX",Crime,231.36714590000003
"Lincoln, MT",Crime,231.24357659999998
"Fayette, PA",Crime,231.1128231
"Morgan, IL",Crime,230.9863975
"Garrett, MD",Crime,230.85416040000004
"Adams, WA",Crime,230.7651964
"Fayette, AL",Crime,230.64640130000004
"Mckean, PA",Crime,230.3450522
"Dade, GA",Crime,230.2053674
"Eastland, TX",Crime,230.2000548
"Montezuma, CO",Crime,230.0912565
"Chautauqua, NY",Crime,229.18545240000003
"Vigo, IN",Crime,229.01256800000002
"Sherman, KS",Crime,228.9452167
"Payne, OK",Crime,228.9226722
"Wapello, IA",Crime,228.8717471
"Clark, IL",Crime,228.64911630000003
"Jefferson, KS",Crime,228.5653537
"Kaufman, TX",Crime,228.4282662
"Keweenaw, MI",Crime,228.20629849999997
"Wichita, KS",Crime,228.1021898
"Baldwin, AL",Crime,228.086325
"Butler, KS",Crime,227.95313280000002
"Shiawassee, MI",Crime,227.8664731
"Livingston, IL",Crime,227.8321898
"Dutchess, NY",Crime,227.6738202
"Jones, MS",Crime,227.66491209999998
"Klamath, OR",Crime,227.58306780000004
"Grand Forks, ND",Crime,226.9474841
"Calaveras, CA",Crime,226.88981239999998
"Madison, IL",Crime,226.7751894
"Thomas, KS",Crime,226.47206839999998
"Cambria, PA",Crime,226.33613050000002
"Jefferson, CO",Crime,226.16972149999998
"Asotin, WA",Crime,226.14201719999997
"Poweshiek, IA",Crime,225.79431209999998
"Larimer, CO",Crime,225.6414801
"Waller, TX",Crime,225.59883219999998
"Northumberland, PA",Crime,225.3497173
"Cass, IL",Crime,225.15761030000002
"Cannon, TN",Crime,225.04537209999998
"Calhoun, WV",Crime,224.7488102
"Bossier, LA",Crime,224.5140241
"Pender, NC",Crime,224.09368560000001
"Boyle, KY",Crime,224.03750040000003
"Mercer, PA",Crime,223.96805419999998
"Gilmer, GA",Crime,223.9406557
"Gladwin, MI",Crime,223.59078959999997
"Covington City, VA",Crime,223.4444826
"Wilcox, GA",Crime,223.21428569999998
"Boone, WV",Crime,222.91941880000002
"Benton, WA",Crime,222.7811324
"Morton, KS",Crime,222.7171492
"Vernon, LA",Crime,222.4080903
"Sanilac, MI",Crime,222.365684
"Fond Du Lac, WI",Crime,222.0082909
"Burnett, WI",Crime,221.74395099999998
"Terrell, TX",Crime,221.48394240000002
"Gwinnett, GA",Crime,221.22555
"Boise, ID",Crime,220.75055189999998
"Hawaii, HI",Crime,220.6256125
"Winchester City, VA",Crime,220.4585538
"Dane, WI",Crime,220.2224188
"Barton, MO",Crime,219.9592668
"Rush, KS",Crime,219.7112367
"Russell, VA",Crime,219.36031699999998
"Milam, TX",Crime,219.3073199
"Clare, MI",Crime,219.17628969999998
"Live Oak, TX",Crime,219.09496919999998
"Creek, OK",Crime,218.53270899999998
"Rich, UT",Crime,218.53146850000002
"Walker, GA",Crime,218.4814804
"Orange, CA",Crime,217.9900031
"Harrisonburg City, VA",Crime,217.9200311
"New Madrid, MO",Crime,217.8056085
"Bibb, AL",Crime,217.66169150000002
"Wheeler, OR",Crime,217.23388849999998
"Cook, GA",Crime,216.805344
"Kingman, KS",Crime,216.7261601
"Canyon, ID",Crime,216.72340359999998
"Pickens, AL",Crime,216.4836864
"Douglas, WI",Crime,216.46501239999998
"Richland, IL",Crime,216.28970460000002
"Dunn, ND",Crime,216.24219130000003
"San Saba, TX",Crime,216.2341983
"Polk, WI",Crime,216.21124300000002
"St. Bernard, LA",Crime,216.18140840000004
"Nevada, AR",Crime,215.9336288
"Lebanon, PA",Crime,215.5204228
"Colusa, CA",Crime,215.3759715
"Anderson, KS",Crime,215.2716221
"Pulaski, IN",Crime,215.26870150000002
"Adair, MO",Crime,215.0789926
"Big Horn, MT",Crime,214.6909983
"Powell, MT",Crime,214.5002145
"Isabella, MI",Crime,214.37901069999998
"Simpson, KY",Crime,213.56713309999998
"Runnels, TX",Crime,213.405762
"Hale, TX",Crime,212.50419419999997
"Lyon, KS",Crime,211.8770516
"Sedgwick, CO",Crime,211.86440679999998
"Dawson, MT",Crime,211.75224989999998
"Middlesex, MA",Crime,211.2954517
"Ketchikan Gateway, AK",Crime,211.23169930000003
"Tyler, WV",Crime,211.22846030000002
"Okanogan, WA",Crime,211.20093219999998
"Thurston, WA",Crime,211.13770449999998
"Blount, AL",Crime,210.8100636
"Clark, WA",Crime,210.6724168
"Grant, ND",Crime,210.3491796
"Cumberland, IL",Crime,210.25687909999996
"Piscataquis, ME",Crime,210.2312544
"Onslow, NC",Crime,210.02051609999998
"Dent, MO",Crime,209.7902098
"Baker, GA",Crime,209.51810840000002
"Jefferson, WA",Crime,209.46934430000002
"Custer, MT",Crime,209.18751569999998
"Pulaski, VA",Crime,208.65331669999998
"Zapata, TX",Crime,208.47810980000003
"Pamlico, NC",Crime,208.4459199
"Nowata, OK",Crime,208.4320227
"Iosco, MI",Crime,208.4234535
"New London, CT",Crime,208.2801386
"Spotsylvania, VA",Crime,208.0912146
"Washington, TX",Crime,207.9245615
"Whatcom, WA",Crime,207.8961779
"Dinwiddie, VA",Crime,207.8555046
"Brantley, GA",Crime,207.741089
"Belknap, NH",Crime,207.7136543
"Camden, MO",Crime,207.46887969999997
"Brooks, TX",Crime,207.2682051
"Henderson, KY",Crime,207.13314780000002
"Stearns, MN",Crime,207.1114852
"Morton, ND",Crime,206.96792
"Crowley, CO",Crime,206.68921459999999
"Ada, ID",Crime,206.5004418
"Lewis, WA",Crime,206.4437075
"Oakland, MI",Crime,206.391478
"Marion, OH",Crime,206.357636
"Weber, UT",Crime,206.2728755
"Teller, CO",Crime,206.2298604
"Wabash, IL",Crime,205.74367769999998
"Lenawee, MI",Crime,205.6700407
"Polk, TX",Crime,205.2849967
"Johnson, AR",Crime,205.0607444
"Brule, SD",Crime,204.9944092
"Logan, CO",Crime,204.8997773
"Roberts, SD",Crime,204.85806259999998
"Pushmataha, OK",Crime,204.7538503
"Roane, WV",Crime,204.6943231
"Comanche, KS",Crime,204.6035806
"Murray, OK",Crime,204.2007001
"Schuylkill, PA",Crime,204.192758
"Fayette, TN",Crime,204.1871285
"Brown, IL",Crime,204.08163269999997
"Amelia, VA",Crime,204.00156919999998
"St. Clair, AL",Crime,203.9208416
"Branch, MI",Crime,203.8992875
"Lincoln, OK",Crime,203.7786382
"Kiowa, OK",Crime,203.4043464
"Ellsworth, KS",Crime,203.18849640000002
"Montgomery, NC",Crime,203.1119655
"Humphreys, TN",Crime,202.817519
"Pine, MN",Crime,202.7212754
"Titus, TX",Crime,202.57205119999998
"Harrison, MS",Crime,202.5445293
"Greene, NY",Crime,202.24950990000002
"Clay, KS",Crime,202.2364977
"Coffey, KS",Crime,202.0922492
"Izard, AR",Crime,201.9748654
"Jefferson, MO",Crime,201.9006667
"Bedford City, VA",Crime,201.7484869
"Van Buren, IA",Crime,201.72135559999998
"Hays, TX",Crime,201.67475259999998
"Carroll, OH",Crime,201.5915119
"Strafford, NH",Crime,201.4559405
"Ravalli, MT",Crime,200.8671582
"Greene, PA",Crime,200.856282
"Allegan, MI",Crime,200.8335481
"Snohomish, WA",Crime,200.8277105
"Catoosa, GA",Crime,200.57876930000003
"Owyhee, ID",Crime,200.488145
"Mccracken, KY",Crime,200.3885396
"Richland, OH",Crime,200.37282480000002
"Mcdonough, IL",Crime,200.2217841
"Crawford, MO",Crime,199.6495946
"Lunenburg, VA",Crime,199.5689311
"Kenosha, WI",Crime,199.0975041
"Swift, MN",Crime,199.0362455
"Cochran, TX",Crime,198.93899199999998
"Taylor, KY",Crime,198.791026
"White, AR",Crime,198.7691602
"Moore, NC",Crime,198.71815869999998
"Kenton, KY",Crime,198.59634069999998
"Warren, KY",Crime,198.5300329
"Ventura, CA",Crime,198.18489319999998
"Walsh, ND",Crime,198.1268012
"Stoddard, MO",Crime,198.11954330000003
"Miami, KS",Crime,197.9594944
"Wilson, KS",Crime,197.693575
"Beaver, OK",Crime,197.6284585
"Linn, IA",Crime,197.120924
"Archuleta, CO",Crime,196.8181073
"Pinal, AZ",Crime,196.481315
"Mahaska, IA",Crime,196.27960919999998
"Grays Harbor, WA",Crime,195.5598075
"Washington, PA",Crime,195.4794771
"Ness, KS",Crime,195.2489424
"Mineral, NV",Crime,195.0585176
"Bremer, IA",Crime,194.9317739
"Gilchrist, FL",Crime,194.90874730000002
"Tuolumne, CA",Crime,194.89920930000002
"Otsego, MI",Crime,194.78635669999997
"Muskingum, OH",Crime,194.7648156
"Herkimer, NY",Crime,194.76168959999998
"Sussex, VA",Crime,194.7502117
"Logan, AR",Crime,194.7287383
"Cherokee, NC",Crime,194.72407969999998
"Northampton, PA",Crime,194.46881330000002
"Skagit, WA",Crime,194.383904
"Berrien, GA",Crime,194.2461151
"Austin, TX",Crime,194.1276389
"Clark, KY",Crime,193.7440332
"Cherokee, OK",Crime,193.68140449999999
"Guadalupe, TX",Crime,193.4587207
"Cleburne, AL",Crime,193.4106976
"Fannin, TX",Crime,193.11328319999998
"Braxton, WV",Crime,193.076817
"Cumberland, VA",Crime,193.06981000000002
"Edgefield, SC",Crime,192.91874719999998
"Macon, GA",Crime,192.7332429
"Wright, IA",Crime,192.7227875
"Coosa, AL",Crime,192.6959075
"Pickens, GA",Crime,192.6717144
"Cooper, MO",Crime,192.66730890000002
"Ross, OH",Crime,192.5298421
"Juneau, WI",Crime,192.11210309999998
"Queen Anne'S, MD",Crime,191.68538859999998
"Dodge, MN",Crime,191.6556096
"Refugio, TX",Crime,191.6495551
"Hamilton, KS",Crime,191.64430819999998
"Roscommon, MI",Crime,191.5549263
"Davidson, NC",Crime,191.5310244
"Dukes, MA",Crime,191.2378303
"Marion, MS",Crime,190.9854851
"Caribou, ID",Crime,190.95182140000003
"Rabun, GA",Crime,190.9454881
"Hillsdale, MI",Crime,190.88523030000002
"Calhoun, AR",Crime,190.8032818
"Redwood, MN",Crime,190.5487805
"Franklin, VT",Crime,190.4998551
"Howard, MD",Crime,190.4261606
"Columbia, AR",Crime,190.3658335
"Pierce, WI",Crime,190.35532990000002
"Cattaraugus, NY",Crime,190.1333469
"Accomack, VA",Crime,190.0567153
"Brown, SD",Crime,189.93853380000002
"Rains, TX",Crime,189.7876186
"Marin, CA",Crime,189.65417140000002
"Winnebago, WI",Crime,189.3347332
"Koochiching, MN",Crime,189.30789040000002
"Butte, ID",Crime,189.2505678
"Floyd, IN",Crime,188.8673207
"Falls, TX",Crime,188.6468873
"Lincoln, NE",Crime,188.62167490000002
"Sampson, NC",Crime,188.6204209
"Crane, TX",Crime,188.5606537
"Dawson, TX",Crime,188.26937
"Warren, NY",Crime,188.2547408
"Hettinger, ND",Crime,187.9699248
"Cass, MO",Crime,187.79622619999998
"Sawyer, WI",Crime,187.73087869999998
"Natrona, WY",Crime,187.7168933
"Okmulgee, OK",Crime,187.6362899
"Franklin, MO",Crime,187.59330559999998
"Wheatland, MT",Crime,187.4414246
"Moody, SD",Crime,187.38288569999997
"Lawrence, OH",Crime,187.3475782
"Haskell, TX",Crime,187.2340426
"Monroe, IA",Crime,187.21917119999998
"White, GA",Crime,187.0705472
"Churchill, NV",Crime,187.00910109999998
"Bonneville, ID",Crime,186.9471804
"Gallatin, MT",Crime,186.8665541
"Campbell, KY",Crime,186.83782480000002
"Marshall, AL",Crime,186.7876741
"Van Zandt, TX",Crime,186.7342467
"Erie, OH",Crime,186.7241742
"Blanco, TX",Crime,186.5149678
"Floyd, IA",Crime,186.4280388
"Coos, OR",Crime,186.2496387
"Menard, TX",Crime,186.21973930000001
"Gooding, ID",Crime,185.67639259999999
"Mcintosh, OK",Crime,185.4291709
"Montcalm, MI",Crime,185.40527690000002
"Lafourche, LA",Crime,185.2976601
"Carroll, NH",Crime,185.2670583
"Placer, CA",Crime,185.130231
"Norfolk, MA",Crime,185.0823347
"Box Elder, UT",Crime,185.0612277
"Coryell, TX",Crime,185.0587988
"St. Tammany, LA",Crime,184.8695803
"Montgomery, MD",Crime,184.719434
"Sandusky, OH",Crime,184.6983261
