Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Number of Completed Surveys,Start Date,End Date,Location,Nurse Communication,Doctor Communication,Staff Responsiveness,Communication About Medicines,Discharge Information,Care Transition,Cleanliness,Quietness,Overall Hospital Rating,Recommend Hospital,Payment for heart attack patients,Payment for heart failure patients,Payment for pneumonia patients,Payment for hip/knee replacement patients,Value of care for heart attack patients,Value of care for heart failure patients,Value of care for pneumonia patients,Value of care for hip/knee replacement patients
100212.0,Ocala Regional Medical Center,1431 SW 1ST AVE,Ocala,FL,34478,Marion,(352) 401-1000,2363,01/01/2018,12/31/2018,"1431 SW 1ST AVE OCALA, FL 34478 (29.174744, -82.137839)",89.0,87.0,82.0,74.0,82.0,79.0,82.0,74.0,84.0,85.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Worse Mortality and Average Payment,Worse Mortality and Average Payment,Worse Mortality and Higher Payment,Better Complications and Higher Payment
100213.0,Blake Medical Center,2020 59TH ST W,Bradenton,FL,34209,Manatee,(941) 792-6611,1146,01/01/2018,12/31/2018,"2020 59TH ST W BRADENTON, FL 34209 (27.482176, -82.620468)",88.0,88.0,82.0,74.0,83.0,79.0,85.0,72.0,85.0,84.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Worse Mortality and Average Payment,Average Mortality and Average Payment,Better Complications and Lower Payment
100217.0,Steward Sebastian River Medical Center,13695 US HWY 1,Sebastian,FL,32978,Indian River,(772) 589-3187,324,01/01/2018,12/31/2018,"13695 US HWY 1 SEBASTIAN, FL 32978 (27.844359, -80.488128)",84.0,88.0,78.0,71.0,78.0,75.0,82.0,81.0,79.0,76.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
100220.0,Gulf Coast Medical Center Lee Mem Health System,13681 DOCTORS WAY,Fort Myers,FL,33912,Lee,(239) 768-5000,3529,01/01/2018,12/31/2018,"13681 DOCTORS WAY FORT MYERS, FL 33912 (26.543016, -81.848589)",91.0,89.0,83.0,76.0,86.0,81.0,84.0,79.0,87.0,88.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Better Complications and Average Payment
100223.0,Fort Walton Beach Medical Center,1000 MAR-WALT DR,Fort Walton Beach,FL,32547,Okaloosa,(850) 862-1111,1198,01/01/2018,12/31/2018,"1000 MAR-WALT DR FORT WALTON BEACH, FL 32547 (30.454676, -86.632069)",88.0,88.0,84.0,77.0,83.0,79.0,79.0,79.0,83.0,82.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Higher Payment,Average Complications and Higher Payment
100224.0,University Hospital And Medical Center,7201 N UNIVERSITY DR,Tamarac,FL,33321,Broward,(954) 721-2200,795,01/01/2018,12/31/2018,"7201 N UNIVERSITY DR TAMARAC, FL 33321 (26.211385, -80.252543)",88.0,88.0,83.0,74.0,79.0,78.0,87.0,79.0,85.0,84.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100226.0,Orange Park Medical Center,2001 KINGSLEY AVE,Orange Park,FL,32073,Clay,(904) 276-8500,1812,01/01/2018,12/31/2018,"2001 KINGSLEY AVE ORANGE PARK, FL 32073 (30.164807, -81.738598)",88.0,88.0,80.0,72.0,84.0,80.0,86.0,76.0,85.0,83.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100228.0,Westside Regional Medical Center,8201 W BROWARD BLVD,Plantation,FL,33324,Broward,(954) 473-6600,994,01/01/2018,12/31/2018,"8201 W BROWARD BLVD PLANTATION, FL 33324 (26.120882, -80.258429)",84.0,87.0,77.0,70.0,78.0,76.0,81.0,71.0,80.0,79.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100230.0,Memorial Hospital Pembroke,7800 SHERIDAN ST,Pembroke Pines,FL,33024,Broward,(954) 962-9650,883,01/01/2018,12/31/2018,"7800 SHERIDAN ST PEMBROKE PINES, FL 33024 (26.030929, -80.24612)",93.0,90.0,88.0,81.0,85.0,83.0,91.0,87.0,91.0,91.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Number of Cases Too Small,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Not Available
100231.0,West Florida Hospital,8383 N DAVIS HWY,Pensacola,FL,32514,Escambia,(850) 494-4000,2073,01/01/2018,12/31/2018,"8383 N DAVIS HWY PENSACOLA, FL 32514 (30.515161, -87.21692)",91.0,89.0,85.0,81.0,86.0,83.0,87.0,81.0,88.0,89.0,No Different Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100232.0,Putnam Community Medical Center,611 ZEAGLER DR,Palatka,FL,32177,Putnam,(386) 326-8500,700,01/01/2018,12/31/2018,"611 ZEAGLER DR PALATKA, FL 32177 (29.642378, -81.693518)",91.0,91.0,84.0,79.0,84.0,81.0,88.0,79.0,87.0,86.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100236.0,Fawcett Memorial Hospital,21298 OLEAN BLVD,Port Charlotte,FL,33952,Charlotte,(941) 629-1181,1119,01/01/2018,12/31/2018,"21298 OLEAN BLVD PORT CHARLOTTE, FL 33952 (26.987872, -82.097729)",88.0,86.0,81.0,73.0,84.0,79.0,80.0,67.0,83.0,84.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Worse Mortality and Higher Payment,Better Complications and Average Payment
100238.0,Northside Hospital,6000 49TH ST N,Saint Petersburg,FL,33709,Pinellas,(813) 521-5000,991,01/01/2018,12/31/2018,"6000 49TH ST N SAINT PETERSBURG, FL 33709 (27.826053, -82.700001)",89.0,87.0,85.0,73.0,84.0,79.0,88.0,73.0,86.0,85.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100242.0,Gulf Coast Regional Medical Center,449 W 23RD ST,Panama City,FL,32405,Bay,(850) 769-8341,1046,01/01/2018,12/31/2018,"449 W 23RD ST PANAMA CITY, FL 32405 (30.189682, -85.666124)",88.0,88.0,81.0,75.0,84.0,80.0,83.0,76.0,85.0,87.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100243.0,Brandon Regional Hospital,119 OAKFIELD DR,Brandon,FL,33511,Hillsborough,(813) 681-5551,1058,01/01/2018,12/31/2018,"119 OAKFIELD DR BRANDON, FL 33511 (27.934002, -82.288303)",89.0,88.0,84.0,75.0,83.0,80.0,85.0,78.0,85.0,83.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Average Payment
100244.0,Cape Coral Hospital,636 DEL PRADO BLVD,Cape Coral,FL,33990,Lee,(239) 574-2323,2421,01/01/2018,12/31/2018,"636 DEL PRADO BLVD CAPE CORAL, FL 33990 (26.639321, -81.940946)",91.0,89.0,81.0,75.0,86.0,79.0,84.0,79.0,86.0,84.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100246.0,Lawnwood Regional Medical Center & Heart Institute,1700 S 23RD ST,Fort Pierce,FL,34950,St. Lucie,(772) 461-4000,1098,01/01/2018,12/31/2018,"1700 S 23RD ST FORT PIERCE, FL 34950 (27.431942, -80.347352)",85.0,86.0,80.0,70.0,82.0,76.0,78.0,70.0,81.0,80.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100248.0,Largo Medical Center,201 14TH ST SW,Largo,FL,33770,Pinellas,(727) 588-5200,1056,01/01/2018,12/31/2018,"201 14TH ST SW LARGO, FL 33770 (27.914914, -82.802671)",88.0,87.0,83.0,74.0,84.0,80.0,85.0,74.0,84.0,83.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Worse Complications and Higher Payment
100249.0,Bayfront Health Seven Rivers,6201 N SUNCOAST BLVD,Crystal River,FL,34428,Citrus,(352) 795-6560,579,01/01/2018,12/31/2018,"6201 N SUNCOAST BLVD CRYSTAL RIVER, FL 34428 (28.950896, -82.625866)",86.0,84.0,79.0,70.0,84.0,77.0,82.0,72.0,80.0,78.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Worse Mortality and Average Payment,Average Complications and Higher Payment
100252.0,Raulerson Hospital,1796 HWY 441 NORTH,Okeechobee,FL,34972,Okeechobee,(863) 763-2151,565,01/01/2018,12/31/2018,"1796 HWY 441 NORTH OKEECHOBEE, FL 34972 (27.260537, -80.829875)",89.0,89.0,86.0,77.0,86.0,79.0,83.0,76.0,85.0,84.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Average Payment,Average Complications and Average Payment
100253.0,Jupiter Medical Center,1210 S OLD DIXIE HWY,Jupiter,FL,33458,Palm Beach,(561) 747-2234,1326,01/01/2018,12/31/2018,"1210 S OLD DIXIE HWY JUPITER, FL 33458 (26.922824, -80.094539)",90.0,90.0,84.0,78.0,89.0,82.0,90.0,81.0,90.0,91.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Better Mortality and Average Payment,Average Complications and Higher Payment
100254.0,Capital Regional Medical Center,2626 CAPITAL MEDICAL BLVD,Tallahassee,FL,32308,Leon,(850) 656-5000,1238,01/01/2018,12/31/2018,"2626 CAPITAL MEDICAL BLVD TALLAHASSEE, FL 32308 (30.475376, -84.230728)",89.0,88.0,82.0,77.0,84.0,81.0,86.0,84.0,87.0,88.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
100255.0,Tampa Community Hospital,6001 WEBB RD,Tampa,FL,33615,Hillsborough,(813) 888-7060,210,01/01/2018,12/31/2018,"6001 WEBB RD TAMPA, FL 33615 (28.00224, -82.575148)",90.0,89.0,81.0,76.0,80.0,79.0,91.0,84.0,86.0,85.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Number of Cases Too Small,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
100256.0,Regional Medical Center Bayonet Point,14000 FIVAY RD,Hudson,FL,34667,Pasco,(727) 819-2929,1225,01/01/2018,12/31/2018,"14000 FIVAY RD HUDSON, FL 34667 (28.360743, -82.690148)",90.0,87.0,87.0,76.0,84.0,81.0,85.0,75.0,86.0,87.0,Less Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Lower Payment,Worse Mortality and Higher Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100258.0,Delray Medical Center,5352 LINTON BLVD,Delray Beach,FL,33484,Palm Beach,(561) 498-4440,1131,01/01/2018,12/31/2018,"5352 LINTON BLVD DELRAY BEACH, FL 33484 (26.439246, -80.127919)",86.0,85.0,76.0,71.0,79.0,77.0,82.0,74.0,82.0,81.0,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100259.0,South Bay Hospital,4016 SUN CITY CENTER BLVD,Sun City Center,FL,33573,Hillsborough,(813) 634-3301,909,01/01/2018,12/31/2018,"4016 SUN CITY CENTER BLVD SUN CITY CENTER, FL 33573 (27.71239, -82.365168)",89.0,88.0,83.0,75.0,85.0,80.0,89.0,79.0,85.0,86.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Average Payment
100260.0,St Lucie Medical Center,1800 SE TIFFANY AVE,Port Saint Lucie,FL,34952,St. Lucie,(772) 335-4000,1074,01/01/2018,12/31/2018,"1800 SE TIFFANY AVE PORT SAINT LUCIE, FL 34952 (27.288027, -80.29591)",90.0,86.0,84.0,79.0,87.0,81.0,87.0,79.0,86.0,85.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Complications and Higher Payment
100264.0,Oak Hill Hospital,11375 CORTEZ BLVD,Brooksville,FL,34613,Hernando,(352) 596-6632,1374,01/01/2018,12/31/2018,"11375 CORTEZ BLVD BROOKSVILLE, FL 34613 (28.533305, -82.534495)",91.0,87.0,85.0,75.0,85.0,81.0,86.0,74.0,87.0,88.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Worse Mortality and Higher Payment,Average Complications and Lower Payment
100265.0,Mease Countryside Hospital,3231 MCMULLEN BOOTH RD,Safety Harbor,FL,34695,Pinellas,(727) 734-6950,3161,01/01/2018,12/31/2018,"3231 MCMULLEN BOOTH RD SAFETY HARBOR, FL 34695 (28.040326, -82.708971)",93.0,91.0,86.0,80.0,90.0,83.0,88.0,78.0,91.0,92.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Worse Mortality and Higher Payment,Worse Mortality and Higher Payment,Average Complications and Average Payment
100266.0,Gulf Breeze Hospital,1110 GULF BREEZE PKWY,Gulf Breeze,FL,32561,Santa Rosa,(850) 934-2000,616,01/01/2018,12/31/2018,"1110 GULF BREEZE PKWY GULF BREEZE, FL 32561 (30.358649, -87.156803)",91.0,90.0,86.0,78.0,86.0,83.0,83.0,86.0,90.0,91.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Better Mortality and Average Payment,Average Complications and Average Payment
100267.0,Englewood Community Hospital,700 MEDICAL BLVD,Englewood,FL,34223,Sarasota,(941) 475-6571,432,01/01/2018,12/31/2018,"700 MEDICAL BLVD ENGLEWOOD, FL 34223 (26.949009, -82.327951)",92.0,90.0,90.0,81.0,84.0,81.0,88.0,78.0,89.0,90.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100268.0,West Boca Medical Center,21644 STATE RD 7,Boca Raton,FL,33428,Palm Beach,(561) 488-8000,948,01/01/2018,12/31/2018,"21644 STATE RD 7 BOCA RATON, FL 33428 (26.354571, -80.203236)",89.0,87.0,81.0,77.0,83.0,78.0,84.0,75.0,84.0,83.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100269.0,Palms West Hospital,13001 SOUTHERN BLVD,Loxahatchee,FL,33470,Palm Beach,(561) 753-4245,1039,01/01/2018,12/31/2018,"13001 SOUTHERN BLVD LOXAHATCHEE, FL 33470 (26.681928, -80.251439)",88.0,87.0,82.0,74.0,80.0,78.0,88.0,80.0,85.0,86.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Number of Cases Too Small,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Not Available
100275.0,Wellington Regional Medical Center Llc,10101 FOREST HILL BLVD,Wellington,FL,33414,Palm Beach,(561) 798-8500,936,01/01/2018,12/31/2018,"10101 FOREST HILL BLVD WELLINGTON, FL 33414 (26.650806, -80.204858)",87.0,87.0,82.0,73.0,82.0,78.0,88.0,82.0,85.0,86.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Worse Mortality and Higher Payment,Average Complications and Higher Payment
100276.0,Broward Health Coral Springs,3000 CORAL HILLS DR,Coral Springs,FL,33065,Broward,(954) 344-3000,1079,01/01/2018,12/31/2018,"3000 CORAL HILLS DR CORAL SPRINGS, FL 33065 (26.268779, -80.254161)",89.0,89.0,79.0,73.0,81.0,77.0,84.0,80.0,85.0,84.0,Number of Cases Too Small,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100277.0,Douglas Gardens Hospital,5200 NE 2ND AVE,Miami,FL,33137,Miami-Dade,(305) 751-8626,Not Available,01/01/2018,12/31/2018,"5200 NE 2ND AVE MIAMI, FL 33137 (25.822972, -80.191767)",,,,,,,,,,,Not Available,Number of Cases Too Small,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available
100281.0,Memorial Hospital West,703 N FLAMINGO RD,Pembroke Pines,FL,33028,Broward,(954) 436-5000,2733,01/01/2018,12/31/2018,"703 N FLAMINGO RD PEMBROKE PINES, FL 33028 (26.013281, -80.309457)",92.0,92.0,84.0,78.0,86.0,83.0,91.0,87.0,90.0,91.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Better Mortality and Higher Payment,Better Mortality and Average Payment,Average Complications and Average Payment
100284.0,Westchester General Hospital,2500 SW 75TH AVE,Miami,FL,33155,Miami-Dade,(305) 263-9270,63,01/01/2018,12/31/2018,"2500 SW 75TH AVE MIAMI, FL 33155 (25.74804, -80.317224)",,,,,,,,,,,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Number of Cases Too Small,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
100285.0,Memorial Hospital Miramar,1901 SW 172ND AVE,Miramar,FL,33029,Broward,(954) 538-4810,1030,01/01/2018,12/31/2018,"1901 SW 172ND AVE MIRAMAR, FL 33029 (25.991087, -80.376005)",92.0,93.0,84.0,80.0,90.0,85.0,91.0,85.0,90.0,90.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100286.0,Physicians Regional Medical Center - Pine Ridge,6101 PINE RIDGE ROAD,Naples,FL,34119,Collier,(239) 348-4000,1563,01/01/2018,12/31/2018,"6101 PINE RIDGE ROAD NAPLES, FL 34119 (26.211764, -81.730707)",86.0,88.0,78.0,70.0,81.0,78.0,80.0,79.0,83.0,83.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Better Complications and Lower Payment
100287.0,Good Samaritan Medical Center,1309 N FLAGLER DR,West Palm Beach,FL,33401,Palm Beach,(561) 655-5511,881,01/01/2018,12/31/2018,"1309 N FLAGLER DR WEST PALM BEACH, FL 33401 (26.725062, -80.049968)",88.0,88.0,82.0,74.0,82.0,79.0,84.0,81.0,86.0,87.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Average Payment
100288.0,St Mary'S Medical Center,901 45TH ST,West Palm Beach,FL,33407,Palm Beach,(561) 840-6202,1155,01/01/2018,12/31/2018,"901 45TH ST WEST PALM BEACH, FL 33407 (26.753208, -80.062803)",87.0,87.0,80.0,75.0,80.0,76.0,85.0,74.0,86.0,85.0,Number of Cases Too Small,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Not Available,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
100289.0,Cleveland Clinic Hospital,3100 WESTON RD,Weston,FL,33331,Broward,(954) 689-5000,1338,01/01/2018,12/31/2018,"3100 WESTON RD WESTON, FL 33331 (26.080401, -80.365467)",92.0,92.0,84.0,78.0,86.0,83.0,89.0,82.0,90.0,92.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
100290.0,"Villages Regional Hospital, The",1451 EL CAMINO REAL,The Villages,FL,32159,Lake,(352) 751-8000,3237,01/01/2018,12/31/2018,"1451 EL CAMINO REAL THE VILLAGES, FL 32159 (28.94944, -81.958131)",88.0,85.0,79.0,70.0,78.0,76.0,85.0,79.0,81.0,78.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Average Payment,Average Complications and Higher Payment
100291.0,Steward Melbourne Hospital,250 NORTH WICKHAM ROAD,Melbourne,FL,32935,Brevard,(321) 752-1200,370,01/01/2018,12/31/2018,"250 NORTH WICKHAM ROAD MELBOURNE, FL 32935 (28.109804, -80.67261)",83.0,86.0,74.0,67.0,82.0,72.0,88.0,78.0,77.0,75.0,No Different Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
100292.0,Sacred Heart Hospital On The Emerald Coast,7800 US HWY 98 W,Miramar Beach,FL,32550,Walton,(850) 278-3600,1014,01/01/2018,12/31/2018,"7800 US HWY 98 W MIRAMAR BEACH, FL 32550 (30.376819, -86.306823)",93.0,92.0,88.0,83.0,89.0,85.0,91.0,86.0,92.0,93.0,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Average Complications and Lower Payment
100296.0,Doctors Hospital,5000 UNIVERSITY DR,Coral Gables,FL,33146,Miami-Dade,(305) 666-2111,547,01/01/2018,12/31/2018,"5000 UNIVERSITY DR CORAL GABLES, FL 33146 (25.724611, -80.273181)",91.0,93.0,84.0,76.0,88.0,84.0,90.0,84.0,90.0,91.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Better Mortality and Average Payment,Average Complications and Average Payment
100298.0,Florida State Hospital Unit 31 Med,100 N MAIN ST,Chattahoochee,FL,32324,Gadsden,(850) 663-7536,Not Available,01/01/2018,12/31/2018,"100 N MAIN ST CHATTAHOOCHEE, FL 32324 (30.706899, -84.842584)",,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100299.0,Lakewood Ranch Medical Center,8330 LAKEWOOD RANCH BLVD,Bradenton,FL,34202,Manatee,(941) 782-2100,524,01/01/2018,12/31/2018,"8330 LAKEWOOD RANCH BLVD BRADENTON, FL 34202 (27.392671, -82.434725)",90.0,88.0,84.0,76.0,87.0,81.0,84.0,77.0,87.0,88.0,Less Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Lower Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
100302.0,St Cloud Regional Medical Center,2906 17TH STREET,Saint Cloud,FL,34769,Osceola,(407) 498-3432,414,01/01/2018,12/31/2018,"2906 17TH STREET SAINT CLOUD, FL 34769 (28.242414, -81.302658)",83.0,83.0,75.0,68.0,79.0,75.0,81.0,72.0,77.0,75.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Number of Cases Too Small,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Not Available
100307.0,Ascension St Vincent'S Southside,4201 BELFORT RD,Jacksonville,FL,32216,Duval,(904) 296-3700,1997,01/01/2018,12/31/2018,"4201 BELFORT RD JACKSONVILLE, FL 32216 (30.253096, -81.584126)",89.0,90.0,84.0,75.0,87.0,82.0,85.0,80.0,87.0,87.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
100313.0,Sacred Heart Hospital On The Gulf,3801 E HWY 98,Port Saint Joe,FL,32456,Gulf,(850) 229-5600,104,01/01/2018,12/31/2018,"3801 E HWY 98 PORT SAINT JOE, FL 32456 (29.776562, -85.287605)",97.0,97.0,94.0,93.0,97.0,90.0,97.0,91.0,95.0,96.0,Not Available,No Different Than the National Average Payment,No Different Than the National Average Payment,Number of Cases Too Small,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Not Available
100314.0,West Kendall Baptist Hospital,9555 SW 162 AVE,Miami,FL,33196,Miami-Dade,(786) 467-2011,605,01/01/2018,12/31/2018,"9555 SW 162 AVE MIAMI, FL 33196 (25.679344, -80.456967)",92.0,93.0,84.0,81.0,87.0,85.0,90.0,89.0,91.0,91.0,Number of Cases Too Small,No Different Than the National Average Payment,Less Than the National Average Payment,Number of Cases Too Small,Not Available,Average Mortality and Average Payment,Better Mortality and Lower Payment,Not Available
100315.0,Viera Hospital,8745 N WICKHAM RD,Melbourne,FL,32940,Brevard,(321) 434-9000,1013,01/01/2018,12/31/2018,"8745 N WICKHAM RD MELBOURNE, FL 32940 (28.229812, -80.729434)",94.0,95.0,89.0,85.0,91.0,85.0,92.0,90.0,94.0,95.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Lower Payment
